1,0,Main Menu,,0,,,0,
2,1,When do I perform rapid PC assessment in the ED?,,0,,,0,
3,2,Rapid screen for those on EOL trajectory: UNSTABLE patient (EOL-UNSTABLE),,0,"(For unstable patients use most resuscitative measures until you have more information. Ask yourself: ?How do I reverse life threat as usual (ABCs, VS)?? ...but also ask yourself: ?Does patient have cachexia, contractures, open wounds?? (b4 screen: relieve critical/unstable distress. 1st decrease suffering, stress, and anxiety for both the patient and family caregivers. In addition to considering how symptom-related suffering can be made better, consider how underlying condition can be made better. The clinical condition may warrant antibiotics for infection, anticoagulation for thromboembolism, or intravenous fluids for dehydration. Careful attention must be paid when death is imminent. Goals of care must be assessed to determine the most appropriate next step for making things better, especially whether attempts for disease modification are warranted.)",,0,
4,3,ABCD Model,,0,,,0,
5,4,Do advanced care plans exist?,,0,"Is it essential that I ask this patient has advanced care plans? In some cases, it may be appropriate to ask on first contact if this has been done. It may not be optimal, but it may be the only time before arrest.",,0,
6,4,Can we make patient feel better?,,0,,,0,
7,4,Are Caregivers involved?,,0,"Engage caregivers early
?These decisions are very hard; if (patient?s name) were sitting here now What do you think he/she would say??
?Can you tell me why you feel that way??
?How will the decision affect you and other family members??
Who called for help? 
Why did caregiver call for help?",,0,
8,4,Does patient have decision making capacity?,,0,"If yes to all the following criteria reverse the life threat based on patient?s real-time expressed wishes. If no to all the following criteria: identify the surrogate, apply pre-expressed wishes. 
Can patient receive information? 
Can patient process/understand information?
Will you describe your current condition? 
What have the doctors told you?
Tell me the options of treating ?X? we just discussed.
Explain to me why you feel that way?
Can patient deliberate? I.e. Can patient make, articulate, and defend a choice?",,0,
9,2,Rapid screen for those on EOL trajectory: STABLE patient (EOL-STABLE),,0,,,0,
10,9,NEST Model,,0,,,0,
11,10,Are there social needs that must be addressed in ED?,,0,"?Can you use a telephone??
?If I write prescriptions for you, will you have to pay the full amount or do you have a prescription card of some sort that covers part of the cost??
?Do you have difficulty seeing the kind of doctor you need because of a lack of health insurance??
?Are you a member of a group that has reached out to provide you with practical assistance? Is a social worker involved in your care??
?Can you afford to buy the medications prescribed?""
""Do you have enough income to pay the bills at home?""
""Is there a risk of having the electric, gas, water, or phone service discontinued??
?If I write prescriptions for you, will you have to pay the full amount or do you have a prescription card of some sort that covers part of the cost??
?Do you have difficulty seeing the kind of doctor you need because of a lack of health insurance??
?How much are you able to do for yourself??
?Tell me how you spend your day? How much time do you spend lying in bed or lying down in a day? more than half the day? has this changed recently?? 
>50% time supine and increasing correlates median survival of ~3 months
?How many times have you been in the hospital this year?
Address cultural needs 
Do you have any sense of how much time is left? is this something you?d like to talk about?",,0,
12,10,Are there existential needs that must be addressed in ED?,,0,"?Does this illness cause you spiritual distress??
?Do you have a belief system that underlies the way you make decisions about treatments for your illness?
What is your faith or belief?
?Do you consider yourself spiritual or religious??
?What things do you believe in that give meaning to your life??
?Is faith important in your life??
?What influence does it have on how you take care of yourself??
?What roles do your beliefs play in regaining your health?? 
?Are you part of a spiritual or religious community??
?Does this provide support to you and how??
?Is there a person or group of people you really love or who are really important to you??
?Can we have our chaplain talk with you??",,0,
13,10,Does patient have symptoms that must be addressed this visit?,,0,"?How far can you walk without symptoms??
?How is your appetite? How much do you eat on a daily basis??
?Are you dependent on oxygen??
Include psychological 
(Normalize presence of psychological distress seen w/ terminal illness. ask broad, non-confrontational questions. listen, provide empathetic responses. The physician will probably not be able to solve many of the problems a patient may bring up in this setting. However, validate patient?s worth by listening. in itself of therapeutic value for some.) 
?Many people with your disease develop anxiety or depression. Other than physically, how has this illness has affected you??
?A lot of people with a serious illness find that it disrupts their life with friends and family. In what way has your illness disrupted your life??",,0,
